index,output.relations_noOffset,aqs,aqs_initial
thrashing-r-thrown,10605,0.0001,0.0001
piracy-r-thwarts,10605,0.0001,0.0001
thrashing--thrown,10605,0.0001,0.0001
accused--guilty,10605,0.0001,0.0001
appealed--death,10605,0.0001,0.0001
die--upheld,10605,0.0001,0.0001
another-r-vigil,10605,0.0001,0.0001
appeal-r-transferred,10605,0.0001,0.0001
rescued--under control,10605,0.0001,0.0001
accused--killed,10605,0.0001,0.0001
appeal-r-await,10605,0.0001,0.0001
struggled--vigil,10605,0.0001,0.0001
turned--wounded,10605,0.0001,0.0001
appeal--appealed,10605,0.0001,0.0001
determined-r-shot,10605,0.0001,0.0001
appealed-r-transferred,10605,0.0001,0.0001
dying--left,10605,0.0001,0.0001
released--trial,10605,0.0001,0.0001
accused-r-handed down,10605,0.0001,0.0001
returned-r-shots,10605,0.0001,0.0001
sounds--war zone,10605,0.0001,0.0001
thwarting--under control,10605,0.0001,0.0001
pirate--transiting,10605,0.0001,0.0001
animal cruelty-r-arrested,10605,0.0001,0.0001
access--hearing,10605,0.0001,0.0001
slaying-r-warrants,10605,0.0001,0.0001
deaths--murder,10605,0.0001,0.0001
deaths--shooting,10605,0.0001,0.0001
violence-r-wounded,10605,0.0001,0.0001
vigil-r-violent,10605,0.0001,0.0001
pirate-r-transiting,10605,0.0001,0.0001
used--wait,10605,0.0001,0.0001
sparked-r-trial,10605,0.0001,0.0001
drunk driving--play - off game,10605,0.0001,0.0001
determined-r-doing,10605,0.0001,0.0001
access-r-hearing,10605,0.0001,0.0001
statement--wounding,10605,0.0001,0.0001
accused-r-charged,10605,0.0001,0.0001
accused-r-delayed,10605,0.0001,0.0001
appealed-r-death,10605,0.0001,0.0714285714286
regained--shot,10605,0.0001,0.0001
appealed-r-await,10605,0.0001,0.0001
spraying-r-trial,10605,0.0001,0.0001
accused-r-filed,10605,0.0001,0.0001
discovered--distressed state,10605,0.0001,0.0001
arrest-r-considered,10605,0.0001,0.0001
pleas-r-scheduled,10605,0.0001,0.0001
death-r-turned,10605,0.0001,0.0001
death-r-transferred,10605,0.0001,0.0001
claim--opened fire,10605,0.000880158960883,0.0714285714286
murder--used,10605,0.00180646911359,0.0714285714286
arrest--looking,10605,0.0026067336148,0.0714285714286
looking-r-murder,10605,0.0026067336148,0.0714285714286
used-r-wait,10605,0.00285934306441,0.0714285714286
interviewing--shot,10605,0.00287325907329,0.0714285714286
attack--piracy,10605,0.00287905636389,0.047619047619
avoid--killed,10605,0.00296992291175,0.0714285714286
commit--killed,10605,0.00296992291175,0.0714285714286
approaching-r-escorting,10605,0.00422243084151,0.047619047619
fired-r-suspected,10605,0.00460599538803,0.047619047619
hoping--murder,10605,0.00505268217291,0.0714285714286
guilty--possession,10605,0.00515039555541,0.0714285714286
case--status,10605,0.00516610928091,0.0714285714286
appeared-r-shot,10605,0.00524082309825,0.0714285714286
shot-r-spoke,10605,0.00524082309825,0.0714285714286
lockdown--protest,10605,0.00534506016924,0.0714285714286
found--posession,10605,0.00537131270229,0.0714285714286
life-r-warrants,10605,0.00599776175132,0.0714285714286
shooting--violence,10605,0.00746477322639,0.0714285714286
hearing-r-put,10605,0.00756654089093,0.0714285714286
called-r-report,10605,0.0079124283198,0.0714285714286
arrest--performing,10605,0.00817494373293,0.0714285714286
riots--violations,10605,0.00824735131743,0.0714285714286
pitching-r-poured,10605,0.00832179108771,0.0714285714286
battle--shot,10605,0.00832179108771,0.0714285714286
