index,output.relations_lemma,aqs,aqs_initial
approach-r-shot,10605,0.0001,0.0001
look--suspicion,10605,0.0001,0.0001
administer-r-show,10605,0.0001,0.0001
arraignment-r-job,10605,0.0001,0.0001
use--wait,10605,0.0001,0.0001
arraignment-r-pass,10605,0.0001,0.0001
administer--arrest,10605,0.0001,0.0001
murder--set,10605,0.0001,0.0001
action-r-nab,10605,0.0001,0.0001
arraignment--walk,10605,0.0001,0.0001
trial--which,10605,0.0001,0.0001
approach-r-point,10605,0.0001,0.0001
kill--knock,10605,0.0001,0.0001
lie-r-perform,10605,0.0001,0.0001
after-r-draw,10605,0.0001,0.0001
lie-r-wait,10605,0.0001,0.0001
life--warrant,10605,0.0001,0.0001
suspend-r-take into custody,10605,0.0001,0.0001
make way--walk,10605,0.0001,0.0001
after--pull over,10605,0.0001,0.0001
kill--lie,10605,0.0001,0.0001
kill--reveal,10605,0.0001,0.0001
after--intoxicate,10605,0.0001,0.0001
life--weigh,10605,0.0001,0.0001
life-r-slaying,10605,0.0001,0.0001
make public--trial,10605,0.0001,0.0001
approach--kill,10605,0.0001,0.0001
approach--point,10605,0.0001,0.0001
murder--spiritual,10605,0.0001,0.0001
make way--pass,10605,0.0001,0.0001
laugh--put,10605,0.0001,0.0001
appear-r-shooting,10605,0.0001,0.0001
lash out-r-turn,10605,0.0001,0.0001
another-r-vigil,10605,0.0001,0.0001
access--hearing,10605,0.0001,0.0001
appeal--appeal,10605,0.0001,0.0001
murder-r-reveal,10605,0.0001,0.0001
murder-r-return,10605,0.0001,0.0001
thrashing--throw,10605,0.0001,0.0001
angry-r-fight,10605,0.0001,0.0001
access-r-hearing,10605,0.0001,0.0001
angry-r-erupt,10605,0.0001,0.0001
angry-r-arrest,10605,0.0001,0.0001
march-r-riot,10605,0.0001,0.0001
access-r-wave,10605,0.0001,0.0001
kill-r-use,10605,0.0001,0.0001
kill-r-vigil,10605,0.0001,0.0001
thrashing-r-throw,10605,0.0001,0.0001
access--escort,10605,0.0001,0.0001
job-r-open fire,10605,0.0001,0.0001
kill-r-make public,10605,0.0001,0.0001
mean-r-shot,10605,0.0001,0.0001
memorial--turn,10605,0.0001,0.0001
another--thrashing,10605,0.0001,0.0001
arrest--protest,10605,0.0001,0.0001
memorial--point,10605,0.0001,0.0001
kill-r-pass,10605,0.0001,0.0001
occur--shooting,10605,0.0001,0.0001
arrest--piracy,10605,0.0001,0.0001
violence-r-wound,10605,0.0001,0.0001
kill-r-riot,10605,0.0001,0.0001
another-r-protest,10605,0.0001,0.0001
melee--ugly,10605,0.0001,0.0001
animal cruelty-r-arrest,10605,0.0001,0.0001
murder-r-set,10605,0.0001,0.0001
kill-r-struggle,10605,0.0001,0.0001
melee--point,10605,0.0001,0.0001
melee--memorial,10605,0.0001,0.0001
another-r-mar,10605,0.0001,0.0001
marry--shooting,10605,0.0001,0.0001
mean--shot,10605,0.0001,0.0001
anger-r-arrest,10605,0.0001,0.0001
knock--occur,10605,0.0001,0.0001
knock--look,10605,0.0001,0.0001
mount-r-work,10605,0.0001,0.0001
mount-r-shooting,10605,0.0001,0.0001
mourn--protest,10605,0.0001,0.0001
vigil-r-violent,10605,0.0001,0.0001
mount-r-rampage,10605,0.0001,0.0001
anger-r-another,10605,0.0001,0.0001
knock--shooting,10605,0.0001,0.0001
accuse--guilty,10605,0.0001,0.0001
mount--work,10605,0.0001,0.0001
appeal-r-await,10605,0.0001,0.0001
kill-r-work,10605,0.0001,0.0001
toss--wound,10605,0.0001,0.0001
kill-r-knock,10605,0.0001,0.0001
anger-r-riot,10605,0.0001,0.0001
appeal-r-transfer,10605,0.0001,0.0001
anger--shot,10605,0.0001,0.0001
arrest--hit,10605,0.0001,0.0001
kill-r-go on,10605,0.0001,0.0001
claim--open fire,10605,0.000980509260248,0.0714285714286
murder--use,10605,0.00172915230717,0.0714285714286
arrest--look,10605,0.00247264656479,0.0714285714286
look-r-murder,10605,0.00247264656479,0.0714285714286
use-r-wait,10605,0.00272438992484,0.0714285714286
interview--shot,10605,0.00273937964,0.0714285714286
avoid--kill,10605,0.00283092532617,0.0714285714286
commit--kill,10605,0.00283092532617,0.0714285714286
attack--piracy,10605,0.00299618925414,0.047619047619
approach-r-escort,10605,0.00420729147197,0.047619047619
hope--murder,10605,0.00511638357875,0.0714285714286
case--status,10605,0.00521086290402,0.0714285714286
guilty--possession,10605,0.00522924210006,0.0714285714286
appear-r-shot,10605,0.00529128385394,0.0714285714286
shot-r-speak,10605,0.00529128385394,0.0714285714286
lockdown--protest,10605,0.00533069676583,0.0714285714286
find--posession,10605,0.0053987135433,0.0714285714286
life-r-warrant,10605,0.00606074477744,0.0714285714286
fire-r-suspect,10605,0.00640456893734,0.047619047619
shooting--violence,10605,0.00757016076759,0.0714285714286
draw-r-march,10605,0.00791815692491,0.0714285714286
call-r-report,10605,0.0080310453873,0.0714285714286
flee--shot,10605,0.0081856639448,0.107142857143
riot--violation,10605,0.00823759453728,0.0714285714286
arrest--perform,10605,0.00830397790762,0.0714285714286
battle--shot,10605,0.0083143324692,0.0714285714286
pitch-r-pour,10605,0.0083143324692,0.0714285714286
follow-r-search,10605,0.00840412916252,0.0714285714286
kill-r-wait,10605,0.00868048144479,0.0714285714286
patrol-r-thwart,10605,0.00919995135958,0.0357142857143
arrest--thwarts,10605,0.00924753091103,0.0714285714286
hearing-r-put,10605,0.010379972133,0.0714285714286
intercept-r-seize,10605,0.0106885306989,0.047619047619
riot--snowball,10605,0.010792244628,0.0714285714286
dead--wound,10605,0.0111613620117,0.047619047619
apprehend--charge,10605,0.0120585050388,0.0714285714286
break out--shot,10605,0.0127936203017,0.047619047619
anger-r-break out,10605,0.0133810188647,0.0714285714286
attack-r-transit,10605,0.014084275967,0.047619047619
foil-r-nab,10605,0.0150188368207,0.0714285714286
create--wound,10605,0.0152061873368,0.0714285714286
chaos--vigil,10605,0.0164137871295,0.0714285714286
avoid-r-wait,10605,0.0167915976642,0.0714285714286
riot--vigil,10605,0.0171596386227,0.0285714285714
attack--under control,10605,0.017260975402,0.0714285714286
piracy--thwart,10605,0.0173797541784,0.0597014925373
attempt--suspicion,10605,0.0174574678461,0.0714285714286
attack--patrolling,10605,0.018063320384,0.0714285714286
capture--transit,10605,0.0180872517976,0.05
attack--transit,10605,0.0181094368616,0.0714285714286
fire--put,10605,0.0182782901604,0.0714285714286
snowball--vigil,10605,0.0187862065892,0.0714285714286
murder--rampage,10605,0.0188048912074,0.047619047619
avoid--perform,10605,0.0188444289825,0.0714285714286
involve--violation,10605,0.0192549317936,0.0714285714286
apprehend--operation,10605,0.019330188483,0.047619047619
conduct--review,10605,0.0207380808848,0.0714285714286
arraignment-r-fire,10605,0.0207899126741,0.0714285714286
dead--left,10605,0.0209098578806,0.0714285714286
die--marry,10605,0.021577672433,0.0714285714286
have-r-shooting,10605,0.0217374648351,0.142857142857
protest-r-thrashing,10605,0.021777279346,0.0714285714286
circumstance-r-guilty,10605,0.0218970750677,0.0714285714286
fire--walk,10605,0.0219106990707,0.0357142857143
murder--posession,10605,0.0220707541669,0.047619047619
house-r-occur,10605,0.0227532633696,0.0714285714286
attempt--kill,10605,0.0227712816716,0.0714285714286
riot--shot,10605,0.0230638267349,0.0254237288136
join in-r-shot,10605,0.0231072939626,0.0714285714286
confiscate--operation,10605,0.0232522114591,0.047619047619
slay-r-snowball,10605,0.0235439908256,0.0714285714286
confiscate--pirate,10605,0.0240990018414,0.0714285714286
fan out--in search,10605,0.0241328993558,0.0714285714286
accuse-r-testimony,10605,0.0242977693635,0.0714285714286
escort-r-occur,10605,0.0243079080596,0.0714285714286
death--sentence,10605,0.0243918325717,0.107142857143
attempt-r-crime,10605,0.0244979242282,0.0714285714286
run-r-try,10605,0.024542041068,0.0714285714286
protest--treatment,10605,0.0246177422237,0.142857142857
bash-r-hurl,10605,0.0247861389342,0.0714285714286
interview--put,10605,0.0252385291812,0.0714285714286
