worker,duration,output.relations_noOffset.count,job,judgment,unit,wqs,wqs_initial
44217509,36.3846153846,3.46153846154,1,13,13,0.440095160007,0.281184812801
44260958,6.0,2.0,1,1,1,0.4419187624,0.221633394296
32547262,31.3333333333,2.0,1,3,3,0.44308300914,0.26526434964
44057528,109.018018018,2.27027027027,1,111,111,0.443935486801,0.246620508795
35473680,178.2,1.0,1,15,15,0.44742655815,0.253567566694
19378092,56.375,2.5,1,8,8,0.447490058012,0.21714980275
6336109,140.5,1.59722222222,1,72,72,0.448435749296,0.264839543882
29686407,68.0,1.0,1,1,1,0.44892490708,0.325484051755
44064183,168.571428571,1.95238095238,1,21,21,0.45145575889,0.271468360741
37881503,81.8333333333,2.75,1,12,12,0.453830266456,0.331240280658
44232165,191.0,2.0,1,2,2,0.454123613333,0.317705562729
44254972,101.6,1.96,1,25,25,0.45529430936,0.38343271013
44156451,92.9714285714,2.0,1,70,70,0.456195616034,0.303837414623
44179448,19.6666666667,1.0,1,3,3,0.457497696015,0.22903511265
1883056,47.6034482759,2.44827586207,1,58,58,0.458022035081,0.288232611379
31988217,37.9622641509,2.11320754717,1,53,53,0.459021126181,0.261665178777
44214882,106.772727273,1.93181818182,1,44,44,0.460612717503,0.330580832361
24252915,64.0,1.0,1,3,3,0.462496870768,0.206537756511
44313556,141.0,2.0,1,15,15,0.464049769917,0.275710118554
44161624,138.6,4.4,1,15,15,0.465038278709,0.32405481267
44251435,39.3225806452,1.64516129032,1,31,31,0.46729106784,0.282354841323
43995157,61.7142857143,1.42857142857,1,7,7,0.46914549295,0.235902880555
7111544,19.4285714286,1.0,1,7,7,0.471394443644,0.269583481626
27106354,74.8666666667,3.66666666667,1,15,15,0.472593238559,0.289907813307
35330747,206.307692308,2.0,1,13,13,0.4733427987,0.184903647522
11068774,39.0,8.0,1,2,2,0.478337945746,0.240708857295
44303394,41.7058823529,1.94117647059,1,17,17,0.479768781385,0.314783320419
44108479,105.5,1.5,1,10,10,0.480799940881,0.268493623588
44283307,31.9,2.0,1,10,10,0.484173643439,0.343572524828
44082600,129.0,3.83333333333,1,6,6,0.48646272021,0.175879620961
6341779,42.7857142857,2.14285714286,1,14,14,0.487202810845,0.273726912039
40925305,44.9047619048,2.48571428571,1,105,105,0.487633333085,0.297272855265
20306047,64.5306122449,1.40816326531,1,49,49,0.489156320499,0.30540221169
28776776,49.0952380952,4.38095238095,1,21,21,0.489181825314,0.317008563752
38158803,27.8181818182,2.22727272727,1,22,22,0.490387955776,0.258226869685
44108545,35.2777777778,7.83333333333,1,18,18,0.493927708357,0.328714301447
41290202,36.4761904762,2.42857142857,1,21,21,0.496293602053,0.259590829353
21405768,184.666666667,4.33333333333,1,3,3,0.496532475673,0.245300577253
44237743,119.25,2.25,1,4,4,0.497696129704,0.32545752435
44221674,80.0,3.0,1,1,1,0.497815114886,0.303758334856
39073124,43.8790322581,2.97580645161,1,124,124,0.500871696084,0.270815847212
41545007,54.0405405405,3.56756756757,1,74,74,0.502060207457,0.302638714936
44206177,31.0,2.6,1,5,5,0.50273297818,0.339872755064
43939644,57.0,1.5,1,6,6,0.503976030985,0.329221043913
44053585,75.4444444444,2.94444444444,1,18,18,0.504185559649,0.316176815406
44246740,55.3,3.0,1,10,10,0.506434500562,0.325295354137
11460728,43.4444444444,2.77777777778,1,45,45,0.507938445163,0.325756161662
23854490,63.0,1.0,1,1,1,0.514509046485,0.328829785076
44246595,21.4666666667,1.26666666667,1,15,15,0.518693118675,0.27875727596
38846365,430.909090909,1.90909090909,1,11,11,0.526404215505,0.223570092914
44021516,168.75,3.0,1,4,4,0.526459473696,0.322632841048
35351404,53.3333333333,1.8,1,15,15,0.526935085965,0.316858144033
40599766,59.6666666667,1.33333333333,1,3,3,0.532605901395,0.31059553515
5861591,35.5,2.7,1,10,10,0.532710507408,0.320556135183
30330488,51.2222222222,2.0,1,9,9,0.533034673403,0.307357847061
18531561,77.9047619048,1.61904761905,1,21,21,0.537565512914,0.309420861586
6342161,102.142857143,1.71428571429,1,7,7,0.538093522092,0.308691160799
37673989,65.0,2.33333333333,1,6,6,0.538190547042,0.42612768921
44311752,79.1666666667,5.66666666667,1,6,6,0.545917969474,0.382080587122
36826029,94.6976744186,2.3023255814,1,43,43,0.546025840373,0.286859227037
42023252,153.333333333,1.66666666667,1,3,3,0.547539103228,0.306874883738
44290944,124.736842105,3.05263157895,1,38,38,0.550246901756,0.369037231868
44218485,50.4482758621,9.51724137931,1,29,29,0.556707321807,0.345215677481
36929821,46.1666666667,1.83333333333,1,12,12,0.556983467922,0.333821683558
44292104,61.8571428571,7.42857142857,1,7,7,0.557728526673,0.380051714998
39147083,84.2666666667,3.0,1,15,15,0.558457678758,0.339948588652
34374082,45.3888888889,1.0,1,18,18,0.559482650712,0.24799039498
36851940,65.2857142857,1.71428571429,1,21,21,0.562607772201,0.30710268947
44223038,36.1666666667,9.56666666667,1,30,30,0.565156395294,0.384806703384
23144069,62.6875,1.8125,1,16,16,0.571035393215,0.283893753961
44291491,47.0,6.0,1,1,1,0.573661785931,0.430904605252
44060023,97.0,7.6,1,5,5,0.574452434393,0.408445659306
6338946,90.5,3.25,1,4,4,0.575739419424,0.217861164974
40206876,181.4,12.0,1,5,5,0.576892914975,0.253374530612
44192955,144.133333333,9.06666666667,1,15,15,0.580994772176,0.392674169932
44316968,86.6666666667,8.13333333333,1,15,15,0.583553062527,0.418721169009
44074924,39.9333333333,6.33333333333,1,15,15,0.585078048388,0.40651390306
44201185,159.0,4.25,1,4,4,0.589151672188,0.294464045815
38817461,52.0,2.5,1,4,4,0.593596221948,0.338030237027
