,duration,job,judgment,output.rellist.count,unit,wqs,wqs_initial
AM155T4U3RE1A,36.6779661017,1,59,1.23728813559,59,0.801958886053,0.658122581853
AM5CFEE9TX19X,77.0,1,48,1.10416666667,48,0.560829782097,0.369299138075
AMG9Y1YLBTKIV,66.0,1,26,1.38461538462,26,0.39568153724,0.247532382737
AOEUCTT79ZS7N,55.3333333333,1,3,2.0,3,0.0256286140771,0.0590724841337
AQOGPGGVR2RIA,47.1052631579,1,19,1.26315789474,19,0.571765132283,0.358899846144
ARFAW0SGYEMFL,99.8044444444,1,225,1.21333333333,225,0.566181973203,0.397554796667
ARIY7R4C3ZUIO,145.0,1,1,1.0,1,0.922103992148,0.899105460252
ARLGZWN6W91WD,55.6666666667,1,12,1.25,12,0.547509173443,0.412839009881
ASI2B6A3Y556Z,79.4,1,5,1.2,5,0.204130205486,0.208376095474
ATR6RB1RULOC0,49.1136363636,1,44,1.22727272727,44,0.574164146931,0.419360084561
AUUQ22FMSEEB9,266.2,1,5,1.4,5,0.387891678184,0.204850173554
AV22FQTJNBUZT,86.3333333333,1,9,1.88888888889,9,0.543330487369,0.408905226551
AVQGY7FCU80XP,47.5869565217,1,46,1.47826086957,46,0.569148820541,0.412691159562
AWQDOOSNH42QM,90.0,1,1,1.0,1,0.537241831741,0.288675134595
AYJGQBBK6KXZ7,40.8983050847,1,59,1.06779661017,59,0.551622609223,0.347994061031
AZJEGHE4605S5,39.3529411765,1,34,1.38235294118,34,0.776126088195,0.620262689841
1863418,30.5,1,2,1.5,2,0.723288463785,0.691011453911
1883056,64.0761904762,1,105,1.00952380952,105,0.40848062164,0.244420635852
1924522,26.852173913,1,115,1.00869565217,115,0.649320336618,0.413306145863
2044524,67.0,1,1,1.0,1,1.0,1.0
2442840,118.0,1,2,1.5,2,0.100674081552,0.0743576690553
2455062,14.6279069767,1,43,1.0,43,0.571263531817,0.381380815508
2647839,222.25,1,4,1.0,4,0.309071840846,0.301820573232
3211114,61.8333333333,1,6,1.66666666667,6,0.806245847043,0.544145915324
3572312,41.5405405405,1,37,1.0,37,0.637201120718,0.483392030403
3587109,23.7674418605,1,172,1.01744186047,172,0.466127770414,0.276558760942
3731467,159.0,1,1,1.0,1,0.0715495960137,0.0753778361444
4316379,20.0157480315,1,127,1.0,127,0.532313446554,0.310966179113
4354461,27.5357142857,1,28,1.0,28,0.206602673545,0.121844377426
4472550,38.5,1,2,1.0,2,0.669745629763,0.497216640678
4688131,52.9230769231,1,13,1.0,13,0.466181239444,0.343865926097
4711962,44.8260869565,1,23,1.0,23,0.389646876494,0.246382541683
5203616,21.5555555556,1,9,1.77777777778,9,0.461201912541,0.379918047612
5915389,127.0,1,5,1.0,5,0.477858074374,0.262925953339
6010674,177.833333333,1,6,1.0,6,0.423207112138,0.424319739908
6309240,68.8421052632,1,19,1.0,19,0.713600134006,0.445904498485
6330007,86.7,1,20,1.1,20,0.709055909449,0.510450798592
6335090,151.645833333,1,48,1.125,48,0.15252598389,0.101477072282
6336109,78.6132075472,1,106,1.32075471698,106,0.630457911963,0.424942715941
6338159,48.3333333333,1,33,1.0303030303,33,0.273775155846,0.178247442805
6340330,56.5,1,2,1.0,2,0.791256234521,0.758277238625
6344072,57.25,1,116,1.31034482759,116,0.554175940819,0.347218329118
6417722,22.6666666667,1,3,1.0,3,0.384519410162,0.140545673785
6488338,354.632075472,1,106,1.64150943396,106,0.587804103574,0.392921527261
6524027,40.5,1,92,1.14130434783,92,0.629179466953,0.418913083086
6564167,149.333333333,1,3,1.0,3,0.46066108094,0.246047253145
6574449,41.5714285714,1,7,1.0,7,0.657316543113,0.578200875107
6744840,87.84,1,25,1.0,25,0.412819667257,0.259645536745
7051387,112.923076923,1,13,1.0,13,0.750357567675,0.552424463854
7211526,26.0,1,2,1.0,2,0.822354176505,0.681186217848
7260572,83.0,1,1,4.0,1,0.424575871167,0.322612857461
7265244,92.6666666667,1,3,1.0,3,0.485701022398,0.111111111111
7385617,36.7142857143,1,28,1.0,28,0.468016293365,0.283733303024
8108990,70.375,1,8,1.125,8,0.777378180681,0.596160094699
8113120,60.6666666667,1,3,1.33333333333,3,0.0886285847226,0.114732715366
8178380,157.333333333,1,3,1.33333333333,3,0.740804650339,0.436946980394
8715359,68.8253968254,1,126,1.00793650794,126,0.766559060226,0.566456195405
8973353,22.8,1,5,1.0,5,0.00450700456126,0.00897153592408
9557163,28.0,1,1,1.0,1,0.451325430705,0.483919286191
10319610,39.5,1,10,1.6,10,0.664257352108,0.446849434174
10959404,20.0112359551,1,89,1.03370786517,89,0.645002585418,0.439298233414
10980423,290.833333333,1,6,1.33333333333,6,0.715691240796,0.601819776988
11001780,99.5294117647,1,102,1.22549019608,102,0.636263109862,0.415316640309
11026968,30.2,1,10,1.0,10,0.463957850413,0.219535627682
11106820,72.5833333333,1,12,1.0,12,0.768323111981,0.517200363917
11107830,103.0,1,1,1.0,1,1.0,1.0
11257883,234.041666667,1,24,1.08333333333,24,0.278980033929,0.202421219871
11291592,19.8571428571,1,7,1.0,7,0.812073209064,0.708442670849
11338264,72.5,1,2,1.0,2,0.827048771132,0.640165042945
11460728,51.4823529412,1,170,1.07058823529,170,0.628563816649,0.406946278139
11521789,50.1538461538,1,13,1.0,13,0.602907919637,0.396885913237
11598752,105.459459459,1,37,1.10810810811,37,0.645434518741,0.441674154661
12115558,36.5869565217,1,92,1.01086956522,92,0.492832802789,0.324081491093
12656479,21.0,1,4,1.0,4,0.721394266945,0.452713530641
12667324,120.333333333,1,3,1.0,3,0.865186288743,0.602062072616
13093803,158.0,1,1,1.0,1,0.0,0.0
13095205,61.619047619,1,105,1.04761904762,105,0.467464940126,0.321181430868
13300986,40.0884955752,1,113,1.05309734513,113,0.574749595564,0.395038565501
13581319,21.6666666667,1,9,1.0,9,0.258595381825,0.215858633106
13621328,91.8,1,5,1.0,5,0.71815825382,0.471945333939
14094962,326.428571429,1,7,1.57142857143,7,0.296702642358,0.324837246461
14386965,53.4615384615,1,13,2.53846153846,13,0.327981626238,0.209108998274
14466721,68.8571428571,1,7,1.0,7,0.711227244221,0.541825653063
14533189,118.666666667,1,6,1.83333333333,6,0.434441259628,0.308246699294
14723284,21.5555555556,1,9,1.0,9,0.862578097688,0.782285280976
14848125,51.9166666667,1,12,1.25,12,0.505815030574,0.310156607765
14861092,25.8421052632,1,19,1.0,19,0.702260550642,0.454996824163
15117831,25.696969697,1,66,1.22727272727,66,0.584372693038,0.404743390886
15287417,20.9538461538,1,65,1.01538461538,65,0.485398720702,0.259428440168
15577915,21.1384615385,1,65,1.03076923077,65,0.459750394515,0.26347590582
15679569,91.0,1,7,1.14285714286,7,0.744674319976,0.414718248259
15742641,37.75,1,4,1.0,4,0.0,0.0
15871675,36.8131868132,1,91,1.03296703297,91,0.52988524117,0.355504154828
16465220,31.8857142857,1,105,1.00952380952,105,0.510965982734,0.296811386169
16654434,13.4,1,5,2.0,5,0.0,0.0
16717147,22.75,1,44,1.02272727273,44,0.385846767375,0.252034559006
16844474,165.0,1,3,1.0,3,0.912938014543,0.782360161369
16854635,71.4383561644,1,146,1.06849315068,146,0.566516841895,0.368625904922
17950689,125.2734375,1,128,1.0,128,0.177198643391,0.12079870772
18050262,43.25,1,8,1.0,8,0.742185327205,0.595086502963
18215885,75.4420289855,1,138,1.01449275362,138,0.716694462479,0.508689910603
18531561,78.6551724138,1,145,1.63448275862,145,0.629539939573,0.457748452157
18611009,55.3333333333,1,3,1.0,3,0.231456640704,0.132489076651
18666417,76.7517241379,1,145,1.6,145,0.525026470897,0.336365936444
18672993,234.291666667,1,96,1.03125,96,0.561217325254,0.355865012984
18881135,56.137254902,1,102,1.0,102,0.588906463081,0.363104230047
18956279,125.666666667,1,3,2.0,3,0.608573551217,0.396803521041
18960682,38.7244897959,1,98,1.16326530612,98,0.633875705218,0.430164535618
18969291,101.052631579,1,38,1.0,38,0.687947026861,0.440558575939
18972023,133.142857143,1,14,1.0,14,0.620216774725,0.423480698354
18979155,503.5,1,2,1.5,2,0.489341827368,0.440612783679
19162475,7.0,1,1,2.0,1,0.0,0.0
19294877,49.1333333333,1,15,1.2,15,0.614188544572,0.421930895477
19302668,55.1851851852,1,54,2.81481481481,54,0.261899084068,0.179629845056
19543823,46.0,1,4,1.0,4,0.768835864003,0.568152558628
19638651,32.6710526316,1,76,1.18421052632,76,0.608806518521,0.436832741938
19740138,68.8571428571,1,7,1.57142857143,7,0.78435489099,0.651392860378
19913374,18.347826087,1,46,1.0,46,0.422495648051,0.285367246299
19947926,114.0,1,6,1.33333333333,6,0.674581682606,0.421762309265
20057149,29.0,1,1,1.0,1,0.113387092472,0.102062072616
20270833,35.1428571429,1,7,1.0,7,0.36288034475,0.16837827076
